"state","acq_date","cumu_sum","rank","next_val"
"Northern Territory",2019-08-01,51,1,217
"Western Australia",2019-08-01,26,2,41
"Queensland",2019-08-01,25,3,37
"New South Wales",2019-08-01,4,4,11
"Northern Territory",2019-08-02,217,1,293
"Western Australia",2019-08-02,41,2,45
"Queensland",2019-08-02,37,3,56
"New South Wales",2019-08-02,11,4,20
"South Australia",2019-08-02,1,5,2
"Tasmania",2019-08-02,1,6,2
"Northern Territory",2019-08-03,293,1,384
"Queensland",2019-08-03,56,2,86
"Western Australia",2019-08-03,45,3,51
"New South Wales",2019-08-03,20,4,22
"Northern Territory",2019-08-04,384,1,455
"Queensland",2019-08-04,86,2,103
"Western Australia",2019-08-04,51,3,56
"New South Wales",2019-08-04,22,4,25
"Northern Territory",2019-08-05,455,1,606
"Queensland",2019-08-05,103,2,118
"Western Australia",2019-08-05,56,3,60
"New South Wales",2019-08-05,25,4,47
"Northern Territory",2019-08-06,606,1,723
"Queensland",2019-08-06,118,2,131
"Western Australia",2019-08-06,60,3,84
"New South Wales",2019-08-06,47,4,54
"Northern Territory",2019-08-07,723,1,760
"Western Australia",2019-08-07,84,2,89
"New South Wales",2019-08-07,54,3,78
"Northern Territory",2019-08-08,760,1,894
"Queensland",2019-08-08,131,2,142
"New South Wales",2019-08-08,78,3,102
"Northern Territory",2019-08-09,894,1,944
"Queensland",2019-08-09,142,2,183
"New South Wales",2019-08-09,102,3,175
"Western Australia",2019-08-09,89,4,116
"Northern Territory",2019-08-10,944,1,1124
"Queensland",2019-08-10,183,2,236
"New South Wales",2019-08-10,175,3,224
"Western Australia",2019-08-10,116,4,121
"Northern Territory",2019-08-11,1124,1,1319
"Queensland",2019-08-11,236,2,304
"New South Wales",2019-08-11,224,3,236
"Western Australia",2019-08-11,121,4,128
"Northern Territory",2019-08-12,1319,1,1449
"Queensland",2019-08-12,304,2,352
"New South Wales",2019-08-12,236,3,251
"Western Australia",2019-08-12,128,4,133
"Northern Territory",2019-08-13,1449,1,1585
"Queensland",2019-08-13,352,2,381
"New South Wales",2019-08-13,251,3,256
"Western Australia",2019-08-13,133,4,135
"Northern Territory",2019-08-14,1585,1,1631
"Queensland",2019-08-14,381,2,395
"New South Wales",2019-08-14,256,3,262
"Western Australia",2019-08-14,135,4,143
"South Australia",2019-08-14,2,5,4
"Northern Territory",2019-08-15,1631,1,1764
"Queensland",2019-08-15,395,2,425
"New South Wales",2019-08-15,262,3,272
"Western Australia",2019-08-15,143,4,171
"South Australia",2019-08-15,4,5,7
"Northern Territory",2019-08-16,1764,1,1778
"Queensland",2019-08-16,425,2,469
"New South Wales",2019-08-16,272,3,279
"Western Australia",2019-08-16,171,4,182
"Northern Territory",2019-08-17,1778,1,1853
"Queensland",2019-08-17,469,2,499
"New South Wales",2019-08-17,279,3,286
"Western Australia",2019-08-17,182,4,185
"Northern Territory",2019-08-18,1853,1,1932
"Queensland",2019-08-18,499,2,560
"New South Wales",2019-08-18,286,3,304
"Tasmania",2019-08-18,2,4,3
"Northern Territory",2019-08-19,1932,1,2089
"Queensland",2019-08-19,560,2,635
"New South Wales",2019-08-19,304,3,319
"Western Australia",2019-08-19,185,4,187
"Northern Territory",2019-08-20,2089,1,2189
"Queensland",2019-08-20,635,2,683
"New South Wales",2019-08-20,319,3,328
"Western Australia",2019-08-20,187,4,202
"Tasmania",2019-08-20,3,5,5
"Northern Territory",2019-08-21,2189,1,2277
"Queensland",2019-08-21,683,2,772
"New South Wales",2019-08-21,328,3,334
"Western Australia",2019-08-21,202,4,217
"Northern Territory",2019-08-22,2277,1,2377
"Queensland",2019-08-22,772,2,795
"New South Wales",2019-08-22,334,3,342
"Western Australia",2019-08-22,217,4,222
"Northern Territory",2019-08-23,2377,1,2385
"Queensland",2019-08-23,795,2,858
"New South Wales",2019-08-23,342,3,353
"Western Australia",2019-08-23,222,4,231
"Northern Territory",2019-08-24,2385,1,2433
"Queensland",2019-08-24,858,2,882
"New South Wales",2019-08-24,353,3,361
"Western Australia",2019-08-24,231,4,247
"Northern Territory",2019-08-25,2433,1,2447
"Queensland",2019-08-25,882,2,951
"New South Wales",2019-08-25,361,3,372
"Western Australia",2019-08-25,247,4,254
"Northern Territory",2019-08-26,2447,1,2521
"Queensland",2019-08-26,951,2,1000
"New South Wales",2019-08-26,372,3,388
"Western Australia",2019-08-26,254,4,257
"Northern Territory",2019-08-27,2521,1,2668
"Queensland",2019-08-27,1000,2,1067
"New South Wales",2019-08-27,388,3,412
"Western Australia",2019-08-27,257,4,264
"Victoria",2019-08-27,2,5,4
"Northern Territory",2019-08-28,2668,1,2777
"Queensland",2019-08-28,1067,2,1128
"New South Wales",2019-08-28,412,3,422
"Western Australia",2019-08-28,264,4,265
"Northern Territory",2019-08-29,2777,1,2866
"Queensland",2019-08-29,1128,2,1168
"New South Wales",2019-08-29,422,3,426
"Western Australia",2019-08-29,265,4,270
"Northern Territory",2019-08-30,2866,1,2901
"Queensland",2019-08-30,1168,2,1216
"New South Wales",2019-08-30,426,3,428
"Western Australia",2019-08-30,270,4,282
"Northern Territory",2019-08-31,2901,1,3041
"Queensland",2019-08-31,1216,2,1237
"New South Wales",2019-08-31,428,3,429
"Western Australia",2019-08-31,282,4,291
"Northern Territory",2019-09-01,3041,1,3073
"Queensland",2019-09-01,1237,2,1280
"New South Wales",2019-09-01,429,3,433
"Western Australia",2019-09-01,291,4,307
"Victoria",2019-09-01,4,5,6
"Northern Territory",2019-09-02,3073,1,3190
"Queensland",2019-09-02,1280,2,1326
"New South Wales",2019-09-02,433,3,456
"Western Australia",2019-09-02,307,4,329
"Victoria",2019-09-02,6,5,14
"Northern Territory",2019-09-03,3190,1,3218
"Queensland",2019-09-03,1326,2,1405
"New South Wales",2019-09-03,456,3,474
