"acq_date","New South Wales","Northern Territory","Queensland","South Australia","Tasmania","Victoria","Western Australia"
2019-08-01,4,51,25,0,0,0,26
2019-08-02,7,166,12,1,1,0,15
2019-08-03,9,76,19,0,0,0,4
2019-08-04,2,91,30,0,0,0,6
2019-08-05,3,71,17,0,0,0,5
2019-08-06,22,151,15,0,0,0,4
2019-08-07,7,117,0,0,0,0,24
2019-08-08,24,37,13,0,0,0,0
2019-08-09,24,134,11,0,0,0,5
2019-08-10,73,50,41,0,0,0,27
2019-08-11,49,180,53,0,0,0,5
2019-08-12,12,195,68,0,0,0,7
2019-08-13,15,130,48,0,0,0,5
2019-08-14,5,136,29,1,0,0,2
2019-08-15,6,46,14,2,0,0,8
2019-08-16,10,133,30,0,0,0,28
2019-08-17,7,14,44,0,0,0,11
2019-08-18,7,75,30,0,1,0,0
2019-08-19,18,79,61,0,0,0,3
2019-08-20,15,157,75,0,1,0,2
2019-08-21,9,100,48,0,0,0,15
2019-08-22,6,88,89,0,0,0,15
2019-08-23,8,100,23,0,0,0,5
2019-08-24,11,8,63,0,0,0,9
2019-08-25,8,48,24,0,0,0,16
2019-08-26,11,14,69,0,0,0,7
2019-08-27,16,74,49,0,0,2,3
2019-08-28,24,147,67,0,0,0,7
2019-08-29,10,109,61,0,0,0,1
2019-08-30,4,89,40,0,0,0,5
2019-08-31,2,35,48,0,0,0,12
2019-09-01,1,140,21,0,0,2,9
2019-09-02,4,32,43,0,0,2,16
2019-09-03,23,117,46,0,2,8,22
2019-09-04,18,28,79,0,0,1,24
2019-09-05,7,47,137,0,0,2,25
2019-09-06,236,68,198,0,0,0,51
2019-09-07,258,59,161,0,0,0,27
2019-09-08,155,158,168,0,0,0,21
2019-09-09,207,34,277,3,0,0,26
2019-09-10,64,218,111,0,0,0,66
2019-09-11,48,94,106,4,0,1,41
2019-09-12,89,195,20,1,0,0,62
2019-09-13,118,145,44,11,0,1,57
2019-09-14,103,184,67,9,0,1,21
2019-09-15,67,217,20,9,0,0,64
2019-09-16,149,18,48,8,0,0,1
2019-09-17,2,120,41,2,5,0,16
2019-09-18,14,33,87,0,0,0,6
2019-09-19,22,76,50,0,16,3,0
2019-09-20,11,129,31,0,1,0,11
2019-09-21,1,31,36,0,0,0,17
2019-09-22,19,22,28,0,2,0,39
2019-09-23,57,27,78,0,0,0,4
2019-09-24,12,62,37,0,0,0,55
2019-09-25,0,28,55,0,0,0,24
2019-09-26,5,81,15,0,2,1,10
2019-09-27,47,31,44,0,0,0,25
2019-09-28,21,99,75,0,0,0,33
2019-09-29,8,84,61,0,0,0,45
2019-09-30,1,116,131,9,0,0,66
2019-10-01,2,252,67,8,0,5,119
2019-10-02,2,100,42,0,0,2,16
2019-10-03,3,156,64,1,0,5,157
2019-10-04,11,95,98,152,0,0,136
2019-10-05,0,234,60,206,2,1,146
2019-10-06,11,77,127,20,0,0,33
2019-10-07,62,103,97,2,0,0,9
2019-10-08,344,84,190,14,0,0,46
2019-10-09,68,98,151,9,0,0,40
2019-10-10,3,181,51,1,0,2,111
2019-10-11,1,89,90,10,0,0,156
2019-10-12,3,277,60,0,1,1,92
2019-10-13,0,88,98,0,0,0,139
2019-10-14,1,339,53,0,0,1,102
2019-10-15,9,135,107,0,0,0,57
2019-10-16,1,224,91,0,0,0,32
2019-10-17,26,313,36,0,0,0,54
2019-10-18,43,238,116,2,0,0,48
2019-10-19,136,442,54,0,0,0,76
2019-10-20,81,260,136,3,0,0,91
2019-10-21,51,826,52,0,1,8,197
2019-10-22,82,301,61,6,0,0,147
2019-10-23,39,240,58,0,4,4,236
2019-10-24,36,73,28,82,0,0,200
2019-10-25,31,71,19,78,0,0,176
2019-10-26,151,58,6,18,0,0,145
2019-10-27,125,8,30,35,0,1,178
2019-10-28,60,10,31,45,1,0,196
2019-10-29,75,32,8,33,3,1,125
2019-10-30,15,65,0,39,0,0,269
2019-10-31,61,18,9,23,6,0,241
2019-11-01,73,33,16,0,0,0,46
2019-11-02,51,57,7,6,0,0,106
2019-11-03,12,20,26,2,0,0,203
2019-11-04,31,6,14,0,0,0,447
2019-11-05,30,11,27,8,0,0,249
2019-11-06,133,58,42,3,0,0,221
2019-11-07,1335,12,117,6,0,0,180
2019-11-08,2272,27,151,0,0,0,126
2019-11-09,1130,35,228,0,0,0,149
2019-11-10,700,80,247,2,0,0,363
2019-11-11,222,75,51,0,0,0,150
2019-11-12,1597,19,199,0,0,0,99
2019-11-13,451,28,118,0,0,0,208
2019-11-14,509,9,180,2,0,0,119
2019-11-15,966,60,108,0,0,0,218
2019-11-16,398,49,147,0,10,0,185
2019-11-17,118,130,272,0,0,0,340
2019-11-18,350,35,141,2,6,0,256
2019-11-19,887,61,138,0,4,0,257
2019-11-20,192,122,52,0,1,0,265
2019-11-21,499,14,108,0,0,0,195
2019-11-22,498,49,28,0,0,29,179
2019-11-23,135,24,123,0,1,16,227
2019-11-24,70,36,66,0,4,43,272
2019-11-25,154,12,52,5,0,99,213
2019-11-26,298,31,43,0,0,0,136
2019-11-27,64,52,6,0,0,1,252
2019-11-28,242,34,45,1,0,6,47
2019-11-29,204,57,40,1,0,43,71
2019-11-30,54,18,92,0,0,1,95
2019-12-01,389,73,85,0,0,0,112
2019-12-02,569,31,172,0,0,0,134
2019-12-03,972,74,163,0,2,0,51
2019-12-04,1068,132,170,0,3,0,173
2019-12-05,1688,134,185,0,5,1,80
2019-12-06,1584,148,141,0,18,5,195
2019-12-07,991,29,284,0,1,10,121
2019-12-08,236,98,296,2,16,17,228
2019-12-09,698,28,438,0,1,99,153
2019-12-10,485,35,117,0,11,15,124
2019-12-11,57,25,121,3,0,0,179
2019-12-12,113,34,117,0,2,1,115
2019-12-13,19,46,114,0,0,4,268
2019-12-14,348,33,332,0,0,3,593
2019-12-15,463,191,154,0,0,0,593
2019-12-16,729,37,578,0,0,14,234
2019-12-17,488,78,414,0,2,44,188
2019-12-18,1034,72,503,6,0,27,369
2019-12-19,1296,126,430,69,4,65,820
2019-12-20,553,102,329,253,0,324,263
2019-12-21,1525,99,271,79,0,95,326
2019-12-22,75,180,117,10,0,98,170
2019-12-23,160,146,251,37,0,2,104
2019-12-24,17,331,239,26,0,29,135
2019-12-25,104,168,318,18,0,70,217
2019-12-26,207,309,215,20,0,97,287
2019-12-27,372,115,82,30,0,38,287
2019-12-28,770,65,69,17,0,2,466
2019-12-29,463,51,25,81,0,286,1177
2019-12-30,2117,113,100,322,0,2189,254
2019-12-31,1028,39,84,98,54,367,155
2020-01-01,527,13,141,107,51,555,619
2020-01-02,516,39,152,173,37,685,919
2020-01-03,836,20,109,425,32,929,25
2020-01-04,3252,1,75,0,7,1949,49
2020-01-05,135,5,84,24,12,0,121
2020-01-06,47,0,47,37,24,0,317
2020-01-07,20,2,9,50,0,5,689
2020-01-08,71,1,52,28,0,52,415
2020-01-09,92,0,41,76,16,87,10
2020-01-10,147,0,65,1,0,8,11
2020-01-11,367,0,71,5,3,141,39
