"acq_date","New South Wales","Northern Territory","Queensland","South Australia","Tasmania","Victoria","Western Australia"
2019-08-01,4,51,25,0,0,0,26
2019-08-02,11,217,37,1,1,0,41
2019-08-03,20,293,56,0,0,0,45
2019-08-04,22,384,86,0,0,0,51
2019-08-05,25,455,103,0,0,0,56
2019-08-06,47,606,118,0,0,0,60
2019-08-07,54,723,0,0,0,0,84
2019-08-08,78,760,131,0,0,0,0
2019-08-09,102,894,142,0,0,0,89
2019-08-10,175,944,183,0,0,0,116
2019-08-11,224,1124,236,0,0,0,121
2019-08-12,236,1319,304,0,0,0,128
2019-08-13,251,1449,352,0,0,0,133
2019-08-14,256,1585,381,2,0,0,135
2019-08-15,262,1631,395,4,0,0,143
2019-08-16,272,1764,425,0,0,0,171
2019-08-17,279,1778,469,0,0,0,182
2019-08-18,286,1853,499,0,2,0,0
2019-08-19,304,1932,560,0,0,0,185
2019-08-20,319,2089,635,0,3,0,187
2019-08-21,328,2189,683,0,0,0,202
2019-08-22,334,2277,772,0,0,0,217
2019-08-23,342,2377,795,0,0,0,222
2019-08-24,353,2385,858,0,0,0,231
2019-08-25,361,2433,882,0,0,0,247
2019-08-26,372,2447,951,0,0,0,254
2019-08-27,388,2521,1000,0,0,2,257
2019-08-28,412,2668,1067,0,0,0,264
2019-08-29,422,2777,1128,0,0,0,265
2019-08-30,426,2866,1168,0,0,0,270
2019-08-31,428,2901,1216,0,0,0,282
2019-09-01,429,3041,1237,0,0,4,291
2019-09-02,433,3073,1280,0,0,6,307
2019-09-03,456,3190,1326,0,5,14,329
2019-09-04,474,3218,1405,0,0,15,353
2019-09-05,481,3265,1542,0,0,17,378
2019-09-06,717,3333,1740,0,0,0,429
2019-09-07,975,3392,1901,0,0,0,456
2019-09-08,1130,3550,2069,0,0,0,477
2019-09-09,1337,3584,2346,7,0,0,503
2019-09-10,1401,3802,2457,0,0,0,569
2019-09-11,1449,3896,2563,11,0,18,610
2019-09-12,1538,4091,2583,12,0,0,672
2019-09-13,1656,4236,2627,23,0,19,729
2019-09-14,1759,4420,2694,32,0,20,750
2019-09-15,1826,4637,2714,41,0,0,814
2019-09-16,1975,4655,2762,49,0,0,815
2019-09-17,1977,4775,2803,51,10,0,831
2019-09-18,1991,4808,2890,0,0,0,837
2019-09-19,2013,4884,2940,0,26,23,0
2019-09-20,2024,5013,2971,0,27,0,848
2019-09-21,2025,5044,3007,0,0,0,865
2019-09-22,2044,5066,3035,0,29,0,904
2019-09-23,2101,5093,3113,0,0,0,908
2019-09-24,2113,5155,3150,0,0,0,963
2019-09-25,0,5183,3205,0,0,0,987
2019-09-26,2118,5264,3220,0,31,24,997
